Name;Age;Photo;Nationality;Club
L. Messi;31;https://cdn.sofifa.com/players/158/023/20_120.png;Argentina;FC Barcelona
Cristiano Ronaldo;33;https://cdn.sofifa.com/players/020/801/20_120.png;Portugal;Juventus
Neymar Jr;26;https://cdn.sofifa.com/players/190/871/20_120.png;Brazil;Paris Saint-Germain
De Gea;27;https://cdn.sofifa.com/players/193/080/20_120.png;Spain;Manchester United
K. De Bruyne;27;https://cdn.sofifa.com/players/192/985/20_120.png;Belgium;Manchester City
E. Hazard;27;https://cdn.sofifa.com/players/183/277/20_120.png;Belgium;Chelsea
L. Modrić;32;https://cdn.sofifa.com/players/177/003/20_120.png;Croatia;Real Madrid
L. Suárez;31;https://cdn.sofifa.com/players/176/580/20_120.png;Uruguay;FC Barcelona
Sergio Ramos;32;https://cdn.sofifa.com/players/155/862/20_120.png;Spain;Real Madrid
J. Oblak;25;https://cdn.sofifa.com/players/200/389/20_120.png;Slovenia;Atlético Madrid
R. Lewandowski;29;https://cdn.sofifa.com/players/188/545/20_120.png;Poland;FC Bayern München
T. Kroos;28;https://cdn.sofifa.com/players/182/521/20_120.png;Germany;Real Madrid
D. Godín;32;https://cdn.sofifa.com/players/182/493/20_120.png;Uruguay;Atlético Madrid
David Silva;32;https://cdn.sofifa.com/players/168/542/20_120.png;Spain;Manchester City
N. Kanté;27;https://cdn.sofifa.com/players/215/914/20_120.png;France;Chelsea
P. Dybala;24;https://cdn.sofifa.com/players/211/110/20_120.png;Argentina;Juventus
H. Kane;24;https://cdn.sofifa.com/players/202/126/20_120.png;England;Tottenham Hotspur
A. Griezmann;27;https://cdn.sofifa.com/players/194/765/20_120.png;France;Atlético Madrid
M. ter Stegen;26;https://cdn.sofifa.com/players/192/448/20_120.png;Germany;FC Barcelona
T. Courtois;26;https://cdn.sofifa.com/players/192/119/20_120.png;Belgium;Real Madrid
Sergio Busquets;29;https://cdn.sofifa.com/players/189/511/20_120.png;Spain;FC Barcelona
E. Cavani;31;https://cdn.sofifa.com/players/179/813/20_120.png;Uruguay;Paris Saint-Germain
M. Neuer;32;https://cdn.sofifa.com/players/167/495/20_120.png;Germany;FC Bayern München
S. Agüero;30;https://cdn.sofifa.com/players/153/079/20_120.png;Argentina;Manchester City
